bundle_asset_id,product_asset_id,product_image_url,product_description,bundle_image_url
B_dc4cb6c331e3,I_881901188071,https://static.zara.net/assets/public/d727/5c7c/38a54f5eaddd/d9dbc6934d40/13313620145-e1/13313620145-e1.jpg?ts=1766412991756,HAND BAG-RUCKSACK,https://static.zara.net/assets/public/8c6d/cff5/1a24472ba23d/b52b31d58483/02878302711-p/02878302711-p.jpg?ts=1751358456461
B_0115d9356e71,I_f052906c12b9,https://static.zara.net/assets/public/68fd/2eac/60d64803a691/9e3a5318eae1/12517610105-e1/12517610105-e1.jpg?ts=1758035491318,FLAT SHOES,https://static.zara.net/assets/public/10f9/28cc/f0e24f3ba693/2e04c868fb62/06236102804-p/06236102804-p.jpg?ts=1756123863060
B_356f9aad7c3e,I_4e2056ae9d96,https://static.zara.net/assets/public/137f/ecc2/a08749738f47/509a1052597a/08044746712-e1/08044746712-e1.jpg?ts=1751535975015,TROUSERS,https://static.zara.net/assets/public/748a/95a0/5b444916854c/e5294e13d7fc/08043746712-p/08043746712-p.jpg?ts=1751889435346
B_a5edb4861ebe,I_d3e8b8b3a6f1,https://static.zara.net/assets/public/7520/a593/e99248af9202/476fb1aeecd5/02335790250-000-e1/02335790250-000-e1.jpg?ts=1759158818332,T-SHIRT,https://static.zara.net/assets/public/fc8b/ec36/4f41480988c0/e3c1cfce0534/T9243982705-p/T9243982705-p.jpg?ts=1758818050307
B_07bdfaabcc9f,I_a02581fea174,https://static.zara.net/assets/public/ba80/4248/814d4046a10f/be7d63465a25/12742620709-e1/12742620709-e1.jpg?ts=1746690817255,SANDAL,https://static.zara.net/assets/public/7631/b58f/8da24a579492/b66a3c108cbd/T9806785096-p/T9806785096-p.jpg?ts=1754296231980
B_50f99d10283b,I_3b3ba8046941,https://static.zara.net/assets/public/ad3f/dfa2/edb54db3b444/37ab252b8c02/03777005064-e1/03777005064-e1.jpg?ts=1748359598066,DRESS,https://static.zara.net/assets/public/2c0f/35d4/87154a93a782/0c90a4b48a78/03777005064-p/03777005064-p.jpg?ts=1749551880218
B_3bd039b8dc49,I_a8674a761617,https://static.zara.net/assets/public/2f6e/cbce/218d40138cd3/33389870c840/08270055707-e1/08270055707-e1.jpg?ts=1753873634012,TROUSERS,https://static.zara.net/assets/public/48b8/ae9c/ba474876bc6e/0ae9f71c30a6/08200055707-p/08200055707-p.jpg?ts=1753809270573
B_e7164838242e,I_a229aeae6f59,https://static.zara.net/assets/public/ffa1/bb7d/bbc64c55a0b7/5041312e5b41/09516079500-e1/09516079500-e1.jpg?ts=1761908132079,SHIRT,https://static.zara.net/assets/public/9eff/0577/8d57457c9838/26900252f81e/09516079500-p/09516079500-p.jpg?ts=1761857186140
B_539991bc9785,I_51aabafbe2dd,https://static.zara.net/assets/public/5c31/6bea/eae14b35954d/6a4bf3e1e1ea/00722332800-e1/00722332800-e1.jpg?ts=1760438669662,SWEATSHIRT,https://static.zara.net/assets/public/2e3a/f318/2a834a82b8c7/d18c7ad75588/M9666647758-p/M9666647758-p.jpg?ts=1760953902695
B_9fba18ce952f,I_c3a71a8a7d43,https://static.zara.net/assets/public/1c8d/4265/b41a47e79b44/8b7e6d47d683/00794143445-e1/00794143445-e1.jpg?ts=1765970381091,SHIRT,https://static.zara.net/assets/public/b594/aa8b/7f6c464f81f8/7f293fd2e507/T9676504939-p/T9676504939-p.jpg?ts=1752131966719
B_7f4482be3197,I_a4a662b08881,https://static.zara.net/assets/public/18e3/ebf9/ead24dd38cd0/6618d2e03206/00085812252-e1/00085812252-e1.jpg?ts=1756982061136,T-SHIRT,https://static.zara.net/assets/public/05fe/688e/f3ab442c967b/11744621b95f/T9603421797-p/T9603421797-p.jpg?ts=1758209316780
B_6ec3a66fb02d,I_780840e43f80,https://static.zara.net/assets/public/ac3e/bda1/a5d64024a417/42ca193cf5fa/13345620183-e1/13345620183-e1.jpg?ts=1755685594786,HAND BAG-RUCKSACK,https://static.zara.net/assets/public/8c8e/c566/f1394a5a9013/1fd267415748/T9727978437-p/T9727978437-p.jpg?ts=1753781732263
B_3364bf0ebb58,I_9a8b213d4948,https://static.zara.net/assets/public/c5ba/9104/35444c14b4ca/cb85e38140e4/08981250809-e1/08981250809-e1.jpg?ts=1762169245494,SKIRT,https://static.zara.net/assets/public/f377/c0aa/49524f73bd46/da3411fe8c07/T004-p/T004-p.jpg?ts=1762775514257
B_1c47b9fa8cf4,I_cd7d00b38a06,https://static.zara.net/assets/public/2e4c/afb4/b472406c90ac/d209e3347986/06674320681-e1/06674320681-e1.jpg?ts=1756979380456,SWEATER,https://static.zara.net/assets/public/e152/3fff/0d0747ee85af/877ae5655e97/T9507208257-p/T9507208257-p.jpg?ts=1764862786820
B_262a92173a0b,I_343fa328a075,https://static.zara.net/assets/public/9703/6e9a/d4f84cc28c47/f8d5d942681a/03641825800-e1/03641825800-e1.jpg?ts=1755788148829,TROUSERS,https://static.zara.net/assets/public/d3b1/5b3a/ed64485cb20a/9a4c57a7101d/05063823700-p/05063823700-p.jpg?ts=1755770656443
B_21267b5ed292,I_a37fb3a2b921,https://static.zara.net/assets/public/9cba/4e88/2981449b9326/42ba1f08bdb8/06604585401-e1/06604585401-e1.jpg?ts=1761228044504,TROUSERS,https://static.zara.net/assets/public/9b9b/7b87/fa9f49f69bf3/68736894336d/T9264183990-p/T9264183990-p.jpg?ts=1761650287740
B_e954fa2a1c26,I_2d3a563b3f05,https://static.zara.net/assets/public/000f/d6cf/fbe540faa4b5/5ccb7cc95922/13210720202-e1/13210720202-e1.jpg?ts=1764065134678,HAND BAG-RUCKSACK,https://static.zara.net/assets/public/14a2/4ae7/5999470d9056/e05a3f21ad5d/T9084752979-p/T9084752979-p.jpg?ts=1764579696920
B_31d73f83c831,I_6adcd901fc93,https://static.zara.net/assets/public/4cb1/b9dd/eb584600ab67/865bbc18e60a/00840362427-e1/00840362427-e1.jpg?ts=1760963729928,TROUSERS,https://static.zara.net/assets/public/e1a9/5f64/0fb946bf8e8b/50c68ca86935/T9703399706-p/T9703399706-p.jpg?ts=1763121456409
B_e8320f034310,I_e4a3a2f6b857,https://static.zara.net/assets/public/7fb2/406d/b40246879fe3/349d94036139/03334300712-200-e1/03334300712-200-e1.jpg?ts=1751446842716,SOCKS,https://static.zara.net/assets/public/5c48/9e69/8a4544318b25/05f137a122bb/09942310250-200-p/09942310250-200-p.jpg?ts=1751468226044
B_14ccd8ae7777,I_5e9581ce099d,https://static.zara.net/assets/public/e115/a8b7/9a7f441bae01/c6cca9077430/01223533250-e1/01223533250-e1.jpg?ts=1754037255428,PANTY/UNDERPANT,https://static.zara.net/assets/public/ab7d/031c/77e24a259ebb/525470daf26c/01223532250-p/01223532250-p.jpg?ts=1747907670924
B_83ae8933035a,I_96062b5240f2,https://static.zara.net/assets/public/16e6/8022/e1de437fb3b9/ca8d78143ebc/07380659700-e1/07380659700-e1.jpg?ts=1764232346452,BLAZER,https://static.zara.net/assets/public/68d1/6668/61b947a8a7fa/d1d83de39f5c/T9171043562-p/T9171043562-p.jpg?ts=1764673128282
B_a28e6099ff20,I_df670b56d7b7,https://static.zara.net/assets/public/8b00/45d3/27b84195a7f7/095d0d8fa248/08751526700-e1/08751526700-e1.jpg?ts=1755610876229,SHIRT,https://static.zara.net/assets/public/6c09/1681/330547bbb22a/1eca4d92972d/07563257716-p/07563257716-p.jpg?ts=1756734647080
B_07bdfaabcc9f,I_754def635a8e,https://static.zara.net/assets/public/015a/4cc5/bed54a91948f/2061d64d5e32/03665313779-e1/03665313779-e1.jpg?ts=1754492302427,TROUSERS,https://static.zara.net/assets/public/7631/b58f/8da24a579492/b66a3c108cbd/T9806785096-p/T9806785096-p.jpg?ts=1754296231980
