product_asset_id,product_image_url,product_description
I_881901188071,https://static.zara.net/assets/public/d727/5c7c/38a54f5eaddd/d9dbc6934d40/13313620145-e1/13313620145-e1.jpg?ts=1766412991756,HAND BAG-RUCKSACK
I_f052906c12b9,https://static.zara.net/assets/public/68fd/2eac/60d64803a691/9e3a5318eae1/12517610105-e1/12517610105-e1.jpg?ts=1758035491318,FLAT SHOES
I_4e2056ae9d96,https://static.zara.net/assets/public/137f/ecc2/a08749738f47/509a1052597a/08044746712-e1/08044746712-e1.jpg?ts=1751535975015,TROUSERS
I_d3e8b8b3a6f1,https://static.zara.net/assets/public/7520/a593/e99248af9202/476fb1aeecd5/02335790250-000-e1/02335790250-000-e1.jpg?ts=1759158818332,T-SHIRT
I_a02581fea174,https://static.zara.net/assets/public/ba80/4248/814d4046a10f/be7d63465a25/12742620709-e1/12742620709-e1.jpg?ts=1746690817255,SANDAL
I_3b3ba8046941,https://static.zara.net/assets/public/ad3f/dfa2/edb54db3b444/37ab252b8c02/03777005064-e1/03777005064-e1.jpg?ts=1748359598066,DRESS
I_a8674a761617,https://static.zara.net/assets/public/2f6e/cbce/218d40138cd3/33389870c840/08270055707-e1/08270055707-e1.jpg?ts=1753873634012,TROUSERS
I_a229aeae6f59,https://static.zara.net/assets/public/ffa1/bb7d/bbc64c55a0b7/5041312e5b41/09516079500-e1/09516079500-e1.jpg?ts=1761908132079,SHIRT
I_51aabafbe2dd,https://static.zara.net/assets/public/5c31/6bea/eae14b35954d/6a4bf3e1e1ea/00722332800-e1/00722332800-e1.jpg?ts=1760438669662,SWEATSHIRT
I_c3a71a8a7d43,https://static.zara.net/assets/public/1c8d/4265/b41a47e79b44/8b7e6d47d683/00794143445-e1/00794143445-e1.jpg?ts=1765970381091,SHIRT
I_a4a662b08881,https://static.zara.net/assets/public/18e3/ebf9/ead24dd38cd0/6618d2e03206/00085812252-e1/00085812252-e1.jpg?ts=1756982061136,T-SHIRT
I_780840e43f80,https://static.zara.net/assets/public/ac3e/bda1/a5d64024a417/42ca193cf5fa/13345620183-e1/13345620183-e1.jpg?ts=1755685594786,HAND BAG-RUCKSACK
I_9a8b213d4948,https://static.zara.net/assets/public/c5ba/9104/35444c14b4ca/cb85e38140e4/08981250809-e1/08981250809-e1.jpg?ts=1762169245494,SKIRT
I_cd7d00b38a06,https://static.zara.net/assets/public/2e4c/afb4/b472406c90ac/d209e3347986/06674320681-e1/06674320681-e1.jpg?ts=1756979380456,SWEATER
I_343fa328a075,https://static.zara.net/assets/public/9703/6e9a/d4f84cc28c47/f8d5d942681a/03641825800-e1/03641825800-e1.jpg?ts=1755788148829,TROUSERS
I_a37fb3a2b921,https://static.zara.net/assets/public/9cba/4e88/2981449b9326/42ba1f08bdb8/06604585401-e1/06604585401-e1.jpg?ts=1761228044504,TROUSERS
I_2d3a563b3f05,https://static.zara.net/assets/public/000f/d6cf/fbe540faa4b5/5ccb7cc95922/13210720202-e1/13210720202-e1.jpg?ts=1764065134678,HAND BAG-RUCKSACK
I_6adcd901fc93,https://static.zara.net/assets/public/4cb1/b9dd/eb584600ab67/865bbc18e60a/00840362427-e1/00840362427-e1.jpg?ts=1760963729928,TROUSERS
I_e4a3a2f6b857,https://static.zara.net/assets/public/7fb2/406d/b40246879fe3/349d94036139/03334300712-200-e1/03334300712-200-e1.jpg?ts=1751446842716,SOCKS
I_5e9581ce099d,https://static.zara.net/assets/public/e115/a8b7/9a7f441bae01/c6cca9077430/01223533250-e1/01223533250-e1.jpg?ts=1754037255428,PANTY/UNDERPANT
I_96062b5240f2,https://static.zara.net/assets/public/16e6/8022/e1de437fb3b9/ca8d78143ebc/07380659700-e1/07380659700-e1.jpg?ts=1764232346452,BLAZER
I_df670b56d7b7,https://static.zara.net/assets/public/8b00/45d3/27b84195a7f7/095d0d8fa248/08751526700-e1/08751526700-e1.jpg?ts=1755610876229,SHIRT
I_754def635a8e,https://static.zara.net/assets/public/015a/4cc5/bed54a91948f/2061d64d5e32/03665313779-e1/03665313779-e1.jpg?ts=1754492302427,TROUSERS
I_e80c8de29061,https://static.zara.net/assets/public/6657/fca3/28c54723a7d3/825cf1313627/13335610800-e1/13335610800-e1.jpg?ts=1761290004567,SANDAL
I_c591e2fdace4,https://static.zara.net/assets/public/9ada/d9ae/30774079b377/36eb41fa28c4/03992349400-e1/03992349400-e1.jpg?ts=1758629453710,SOCKS
I_d484229f7d79,https://static.zara.net/assets/public/c462/99ce/f3a8415fb5e0/50360835e24c/12546510800-e1/12546510800-e1.jpg?ts=1758551409631,FLAT SHOES
I_7e26ab6f0928,https://static.zara.net/assets/public/0854/f242/b47a457d8f1d/d8ec1366be34/04028340251-000-e1/04028340251-000-e1.jpg?ts=1764580837573,SHIRT
I_d4bf00b44bee,https://static.zara.net/assets/public/3dfa/ce55/8bba48389fee/7b7e5923df4d/09967221500-e1/09967221500-e1.jpg?ts=1761299742801,SHAWL/FOULARD
I_9bfb98317faf,https://static.zara.net/assets/public/3e64/ca22/53d8497d911f/57462d81f4c6/01255782753-e1/01255782753-e1.jpg?ts=1760609096146,BLAZER
I_15bb08ede36f,https://static.zara.net/assets/public/a2b5/ddff/700a4189ad03/6b49603cbd22/11102510032-e1/11102510032-e1.jpg?ts=1757949526609,FLAT ANKLE BOOT
I_d509014ef345,https://static.zara.net/assets/public/ccb2/bd11/f6bc4a359a7c/d00ce5b44060/01443830730-e1/01443830730-e1.jpg?ts=1756982029210,T-SHIRT
I_6f93c289ef4e,https://static.zara.net/assets/public/1225/4cdf/8a2645e8a179/3552f48299f9/02496302250-e1/02496302250-e1.jpg?ts=1759242329176,SOCKS
I_c3b783634585,https://static.zara.net/assets/public/a846/048a/b3934d8f829d/4ba4b098d70f/03322047716-e1/03322047716-e1.jpg?ts=1763376081057,COAT
I_0c177d6fd3f9,https://static.zara.net/assets/public/5eda/a4f8/4b2e431eb5c5/dfd681ed2a15/09621135706-e1/09621135706-e1.jpg?ts=1754917214421,BLAZER
I_c56c917e1853,https://static.zara.net/assets/public/d3d5/6c95/efbe40f4be0b/24db22c29ac5/14500610700-e1/14500610700-e1.jpg?ts=1765819803463,FLAT SHOES
I_70bfa1dc8859,https://static.zara.net/assets/public/2f19/d38a/a12143189107/1140295b91c3/06861501250-e1/06861501250-e1.jpg?ts=1754573111571,TROUSERS
I_2d15ecffef98,https://static.zara.net/assets/public/4017/917a/ecbb4783a1ba/50a45c1d743b/24850501999-e1/24850501999-e1.jpg?ts=1762792632655,ACCESSORIES
I_468ad7950d4b,https://static.zara.net/assets/public/f47c/27bd/e057437181ac/d24ef192fc9b/01063310403-e1/01063310403-e1.jpg?ts=1740473421151,SHIRT
I_12812038594f,https://static.zara.net/assets/public/d210/acac/bd8a43b4ab70/67160ad987e1/00693300800-e1/00693300800-e1.jpg?ts=1757324917367,SWEATER
